ZDB-GENE-000112-47	SO:0001217	ppardb	ENSDARG00000009473
ZDB-GENE-000125-12	SO:0001217	igfbp2a	ENSDARG00000052470
ZDB-GENE-000125-4	SO:0001217	dlc	ENSDARG00000002336
ZDB-GENE-000128-11	SO:0001217	dbx1b	ENSDARG00000001859
ZDB-GENE-000128-8	SO:0001217	dbx1a	ENSDARG00000086393
ZDB-GENE-000201-13	SO:0001217	anos1b	ENSDARG00000004932
ZDB-GENE-000201-18	SO:0001217	pbx4	ENSDARG00000052150
ZDB-GENE-000201-9	SO:0001217	anos1a	ENSDARG00000012896
ZDB-GENE-000208-13	SO:0001217	crestin	ENSDARG00000105570
ZDB-GENE-000208-17	SO:0001217	calr3a	ENSDARG00000103979
ZDB-GENE-000208-18	SO:0001217	urod	ENSDARG00000006818
ZDB-GENE-000208-20	SO:0001217	mixl1	ENSDARG00000069252
ZDB-GENE-000208-21	SO:0001217	kifc1	ENSDARG00000001558
ZDB-GENE-000208-23	SO:0001217	col11a2	ENSDARG00000012422
ZDB-GENE-000208-25	SO:0001217	bmp7a	ENSDARG00000018260
ZDB-GENE-000208-28	SO:0001217	ccl27a	ENSDARG00000058570
ZDB-GENE-000208-4	SO:0001217	zic1	ENSDARG00000015567
ZDB-GENE-000208-8	SO:0001217	copg2	ENSDARG00000034823
ZDB-GENE-000208-9	SO:0001217	cmn	ENSDARG00000055527
ZDB-GENE-000209-3	SO:0001217	robo1	ENSDARG00000026784
ZDB-GENE-000209-4	SO:0001217	robo3	ENSDARG00000005645
ZDB-GENE-000210-10	SO:0001217	tpst1	ENSDARG00000073872
ZDB-GENE-000210-13	SO:0001217	nccrp1	ENSDARG00000035326
ZDB-GENE-000210-15	SO:0001217	btg2	ENSDARG00000020298
ZDB-GENE-000210-17	SO:0001217	elavl1b	ENSDARG00000101744
ZDB-GENE-000210-19	SO:0001217	rbp4	ENSDARG00000101199
ZDB-GENE-000210-20	SO:0001217	cat	ENSDARG00000104702
ZDB-GENE-000210-21	SO:0001217	inhbaa	ENSDARG00000012671
ZDB-GENE-000210-23	SO:0001217	meis2b	ENSDARG00000077840
ZDB-GENE-000210-25	SO:0001217	khdrbs1a	ENSDARG00000052856
ZDB-GENE-000210-28	SO:0001217	chico	ENSDARG00000019588
ZDB-GENE-000210-31	SO:0001217	vdra	ENSDARG00000099483
ZDB-GENE-000210-32	SO:0001217	nme2b.1	ENSDARG00000103791
ZDB-GENE-000210-33	SO:0001217	nme2b.2	ENSDARG00000099420
ZDB-GENE-000210-34	SO:0001217	nme3	ENSDARG00000100990
ZDB-GENE-000210-35	SO:0001217	nme7	ENSDARG00000056193
ZDB-GENE-000210-6	SO:0001217	twist1a	ENSDARG00000030402
ZDB-GENE-000210-7	SO:0001217	twist3	ENSDARG00000019646
ZDB-GENE-000210-8	SO:0001217	pcna	ENSDARG00000054155
ZDB-GENE-000223-14	SO:0001217	phox2a	ENSDARG00000007406
ZDB-GENE-000308-1	SO:0001217	igf2bp3	ENSDARG00000010266
ZDB-GENE-000322-1	SO:0001217	actc1b	ENSDARG00000099197
ZDB-GENE-000322-2	SO:0001217	tnnc2.2	ENSDARG00000070835
ZDB-GENE-000322-3	SO:0001217	tnnt3a	ENSDARG00000030270
ZDB-GENE-000322-4	SO:0001217	pvalb2	ENSDARG00000002768
ZDB-GENE-000322-5	SO:0001217	myhz1.1	ENSDARG00000067990
ZDB-GENE-000322-6	SO:0001217	mylz3	ENSDARG00000017441
ZDB-GENE-000323-1	SO:0001217	tbr1b	ENSDARG00000004712
ZDB-GENE-000328-2	SO:0001217	hoxb10a	ENSDARG00000011579
ZDB-GENE-000328-3	SO:0001217	fzd8a	ENSDARG00000045444
ZDB-GENE-000328-4	SO:0001217	fzd8b	ENSDARG00000038569
ZDB-GENE-000328-5	SO:0001217	hoxc9a	ENSDARG00000092809
ZDB-GENE-000329-1	SO:0001217	actb1	ENSDARG00000037746
ZDB-GENE-000329-10	SO:0001217	or42c2	ENSDARG00000091216
ZDB-GENE-000329-12	SO:0001217	or30bt4	ENSDARG00000003090
ZDB-GENE-000329-13	SO:0001217	or30bt1	ENSDARG00000094080
ZDB-GENE-000329-14	SO:0001217	or42c1	ENSDARG00000091791
ZDB-GENE-000329-15	SO:0001217	or42c4	ENSDARG00000088453
ZDB-GENE-000329-16	SO:0001217	or42e1	ENSDARG00000041030
ZDB-GENE-000329-17	SO:0001217	hoxc12b	ENSDARG00000103133
ZDB-GENE-000329-2	SO:0001217	hoxb7a	ENSDARG00000056030
ZDB-GENE-000329-3	SO:0001217	actb2	ENSDARG00000037870
ZDB-GENE-000329-4	SO:0001217	notch2	ENSDARG00000043130
ZDB-GENE-000329-5	SO:0001217	notch3	ENSDARG00000052139
ZDB-GENE-000329-9	SO:0001217	actn3a	ENSDARG00000013755
ZDB-GENE-000330-2	SO:0001217	trpc4apb	ENSDARG00000020647
ZDB-GENE-000330-3	SO:0001217	trpc4apa	ENSDARG00000018840
ZDB-GENE-000330-4	SO:0001217	stx1b	ENSDARG00000000503
ZDB-GENE-000330-5	SO:0001217	cdc25b	ENSDARG00000010792
ZDB-GENE-000330-7	SO:0001217	blcap	ENSDARG00000052073
ZDB-GENE-000330-8	SO:0001217	coil	ENSDARG00000040070
ZDB-GENE-000330-9	SO:0001217	psen2	ENSDARG00000015540
ZDB-GENE-000403-1	SO:0001217	axin1	ENSDARG00000102964
ZDB-GENE-000403-2	SO:0001217	axin2	ENSDARG00000100149
ZDB-GENE-000405-1	SO:0001217	pbx1a	ENSDARG00000100494
ZDB-GENE-000405-3	SO:0001217	pbx3b	ENSDARG00000013615
ZDB-GENE-000405-5	SO:0001217	pbx2	ENSDARG00000019717
ZDB-GENE-000405-6	SO:0001217	dazl	ENSDARG00000036214
ZDB-GENE-000406-10	SO:0001217	ccnb1	ENSDARG00000051923
ZDB-GENE-000406-3	SO:0001217	plrdgb	ENSDARG00000089101
ZDB-GENE-000406-5	SO:0001217	copz2	ENSDARG00000006786
ZDB-GENE-000406-6	SO:0001217	copz1	ENSDARG00000017844
ZDB-GENE-000406-8	SO:0001217	mespaa	ENSDARG00000017078
ZDB-GENE-000406-9	SO:0001217	mespba	ENSDARG00000030347
ZDB-GENE-000411-1	SO:0001217	wnt4b	ENSDARG00000040159
ZDB-GENE-000412-1	SO:0001217	bdnf	ENSDARG00000018817
ZDB-GENE-000426-1	SO:0001217	fn1a	ENSDARG00000019815
ZDB-GENE-000427-1	SO:0001217	rh50	ENSDARG00000041848
ZDB-GENE-000427-10	SO:0001217	spon1b	ENSDARG00000023694
ZDB-GENE-000427-2	SO:0001217	mbl2	ENSDARG00000068220
ZDB-GENE-000427-3	SO:0001217	p2rx3a	ENSDARG00000010477
ZDB-GENE-000427-4	SO:0001217	valopa	ENSDARG00000021150
