NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP9A	ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]	3	0.5420606732368469	0.1302709	Yes	
row_1	NCKAP1L	NCK associated protein 1 like [Source:HGNC Symbol;Acc:HGNC:4862]	7	0.48860716819763184	0.24713421	Yes	
row_2	GPR68	G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519]	15	0.4102845788002014	0.33676195	Yes	
row_3	SRCIN1	SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]	67	0.23494967818260193	0.2989195	Yes	
row_4	ACVR1C	activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]	84	0.21144512295722961	0.32159513	Yes	
row_5	FRMD4A	FERM domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25491]	85	0.209878072142601	0.37423822	Yes	
row_6	CCKAR	cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570]	99	0.19120752811431885	0.39753032	Yes	
row_7	RIC1	RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]	105	0.1882973462343216	0.43527272	Yes	
row_8	CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	142	0.14965423941612244	0.40449888	No	
row_9	RAPGEF4	Rap guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:16626]	165	0.12990252673625946	0.3953362	No	
row_10	UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	224	0.05372397601604462	0.29875472	No	
row_11	RIMS2	regulating synaptic membrane exocytosis 2 [Source:HGNC Symbol;Acc:HGNC:17283]	242	0.032319825142621994	0.27460334	No	
row_12	MIR199B	microRNA 199b [Source:HGNC Symbol;Acc:HGNC:31573]	276	0.0	0.21198474	No	
row_13	MIR19A	microRNA 19a [Source:HGNC Symbol;Acc:HGNC:31574]	285	0.0	0.19680448	No	
row_14	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]	299	-0.0024136784486472607	0.17274196	No	
row_15	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	319	-0.02402741275727749	0.14271556	No	
row_16	GOLPH3	golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452]	340	-0.051562968641519547	0.11769828	No	
row_17	GRM7	glutamate metabotropic receptor 7 [Source:HGNC Symbol;Acc:HGNC:4599]	372	-0.07614962011575699	0.07797514	No	
row_18	SLC9B2	solute carrier family 9 member B2 [Source:HGNC Symbol;Acc:HGNC:25143]	459	-0.20876289904117584	-0.032849327	No	
row_19	RASL10B	RAS like family 10 member B [Source:HGNC Symbol;Acc:HGNC:30295]	512	-0.36309078335762024	-0.040448055	No	
row_20	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	521	-0.41847264766693115	0.049335953	No	
